Text,Sentiment
"kickers on my watchlist xide tit soq pnk cpw bpz aj  trade method 1 or method 2, see prev posts",increase
user: aap movie. 55% return for the fea/geed indicator just 15 trades for the year.  awesome.  ,increase
user i'd be afraid to short amzn - they are looking like a near-monopoly in ebooks and infrastructure-as-a-service,increase
mnta over 12.00  ,increase
oi  over 21.37  ,increase
pgnx  over 3.04  ,increase
aap - user if so then the current downtrend will break. otherwise just a short-term correction in med-term downtrend.,decrease
monday's relative weakness. nyx win tie tap ice int bmc aon c chk biib  ,decrease
goog - ower trend line channel test & volume support.   ,increase
aap will watch tomorrow for ong entry.,increase
i'm assuming fcx opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,increase
"it really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",increase
aap gamco's arry haverty : apple is extremely cheap  great video !!!,increase
user maykiljil posted that.  i agree that msft is going higher & possibly north of 30,increase
momentum is coming back to etfc broke ma200 resistance on solid volume friday. ong set-up  ,increase
ha hitting 35.65 means resume targeting 42 level ..  ,increase
user gameplan shot for today but i liked  on trend break from may or c+h break. oc weekly trend break back to july 2011,increase
with fcx gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,increase
"user great list again, particularly like fisv and syk. all buy & hold types should check the free list out.  ",increase
athx upper trend line   ,increase
ng - nice pnf by - breakout - need follow thru  ,increase
won't believe aap uptrend is back until it crosses above ma(50),decrease
x swing still on   ,increase
swy - 30% of float short and breaking out - ouch,increase
biof wants 4.90's comin!!!,increase
vs inverted head and shoulder play out well. wasn't able to catch the entry. eyes on it  ,increase
" red, not ready for break out.",decrease
ei close to breaking out now.  my trigger is at 30.40.   ,increase
user bac for a quick trade to late..but for investing ~11.98 is a good entry point imho,increase
"chdn - ong   49.02. trailing stop  56.66 from 6 prior stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ",increase
aap vome today is impressive. at this rate and well probably get to 30m shares traded today.,increase
"user: been adding vxy long off the bottom today for trade, also got wpi near low",decrease
"i repeat, if global economy is going to get better this year go with c instead of bac",increase
goog go ong on close above 725.,increase
nkd looking like a good short. failed to break price level resistance at 116 today.,decrease
gs like the price action. so far holding above 130. still deciding whether to go ong calls or stocks.,increase
sbx buy when it clears resistance at 54.5,increase
here is new up target for aap and notice shakeout reading at -8.49 ! and we had buy dot monday  ,increase
too early to short into this move. stock market needs a few days to settle down. #patience  coh bwd dt aap pay,decrease
aap obbers hit apple store in paris.  prefer to take merchendise over cash.  bullish.  ,increase
axa here is my tip of the day. buy now! you do not even have to sign up for a newsletter or anything o if i'm wrong i will eat crow :),increase
x out the 1/2 due to the move today and the kirby on the daily around 26.00 - still swinging 1/2  ,increase
"aap 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ",increase
ng stellar move - still long swing - full position - i believe user & user in it 2  ,increase
atice & tade setp:  ko an cnx,increase
idcc 50sma acting as a good support. short-term momentum indicators have switched to the upside.  ,increase
"new post: bac is at 19 month highs, but showing signs of stress  ",increase
c two daily  bull flags on top of each other=bullish still  ,increase
ng - traditional and at point and figure - bullish by signals multiyear high  ,increase
jpm closed>10sma on monday(u know my rules)...large cup n handle....still bullish  ,increase
eog ascending triangle - original target 127 extension eps feb 11th? 1/2 position swing  ,increase
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",increase
phm pultegroup option bear bets 1.5 million on 11% down move by april  ,decrease
bac in a 11.97 for a trade,increase
short setups displaying relative weakness: ao coh pay bwd dt shd wtw p prepare to short the stall. es_f  ,decrease
"when amzn monetize all electronics it makes with traffic to marketplace, aap goog will wake up and say why didn't we buy ebay",increase
"cvi starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ",increase
sam cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,increase
sk to the gave!,decrease
ovti ttm ending oct 2012 negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,decrease
aap and goog should respond positively to good jobless claims numbers,increase
analyst price targets and earnings targets coming down---exacty what you want to see prior aap reporting.,increase
user nice! color me an intc bull as well!,increase
"heads p: aa earnings (1/8/13) ess than a week away, tho the season doesn't eay begin cranking 'til 1/16 w/ gs jpm ebay et al...",increase
"trade idea buy wo  market 26.64, target 36, cut below 23.50  ",increase
"trade idea buy dc  market 58.50, target 67 , cut below 53  ",increase
goog looks all set to make new ath. now before or after e is the unknown.,increase
goog trade this one long verse 10sma  ,increase
"fnf - ong  19.43. trailing stop  21.04 from 6 prior stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ",increase
"fod should see a solid move up tom, system predict nice green candle.",increase
this is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,increase
it's time to invest in msft compq   ,increase
"new post: shorts will make dimes, ongs will make dollars  aap spx qqq p",increase
nbelieveable payment trend that vc's are chasing has easily played out in public markets.... ebay v and mastercard ma all time highs,increase
some of the watch list stocks that triggered today oex agnx tv vbd xide ppc exp  onty  bmn fs wk chmt fbc  isi aig,increase
nice bull flag breakout here oc #technology #software  ,increase
my setup alerts went bonkers today..one of many that got triggered.cup+handle breakout in pfe   ,increase
the host with the most....congrats to the cloud today ax and user more all-time highs.  wow,increase
x did .s. steel just breakout?  mt too,increase
dndn has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher  ,increase
expe looks good for higher prices  ,increase
apc weekly setting up long.  ,increase
i am going into this morning long 3 each aap 560 call options & goog 725 calls jan 4th expiration,increase
es_f path higher unthreatened unless 1452.25 support fails. see resistance at 1466.00 spx #stocks.  ,increase
monitor the s line/price dynamic. stocks that closed dec.28 with the s line in new highs be4 price. mho tsm ipgp eqix bc bdc ash,increase
ddd idcc continue higher,increase
"had hoped to pick up some ost today, but looks like i'm a day too late. nice move up this morning.",increase
gps wow that wa s a fast fast fade...,decrease
amzn going above 260. should go near 300 if market behaves for a few weeks.,increase
huston we have a geen aap,increase
p long 9.55,increase
hn breakout...but 3rd day up so look for pullback to enter long.  ,increase
ng - ascend triangle much like fs & x breakouts 127 exten then 161.8 targets - fibs subjective  ,increase
kcg ... things that make you go hmmmm?  ,increase
vng - huge  news from patent attorney dan avicher  ,increase
ng nhod - check the weekly - target previous lows 2006 :),increase
ng nhod - what do you see? check the weekly - target previous lows 2006 :)   ,increase
aig american international group option traders bet on 4% down move by next friday  ,decrease
p out balance +.32,increase
vng buys vs. sells?,increase
bac in  12.00 since there is consolidation  this level. we could close = > 12.09 if market is stable in pm imho.,increase
vng parabolic moves are a comin',increase
new sony pre-owned block tech patent unearthed sne ... 50% of gme profits from pre owned ..last one out turn off the lights,decrease
"we liked vs, we love wynn from 111 entry to new up target yesterday at 121. very nice !   ",increase
user: spx 1464.90 wave iv would be 20 points lower [1467.00 key] es_f hod 1460.00 (under neckline 1458.50 very bearish) ,decrease
"ddd consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",increase
vng - 12 mil shares shorts plus long buying = massive vng short squeeze. just when you thought story was dead avicher kills short thesis,increase
"wow, not good for bks t user ... sales for the nook were down 13% over the holidays  ",decrease
ac from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce   ,increase
"the new wightwatchers ads are more fun and light and with regular people more interesting, but i still dont trust them wtw (no position)",decrease
amzn holding up well - next buy point when clears this upper trend line on heavy volume  ,increase
ma exactly what you want to see a follow thru day after breaking out to new highs on volume  ,increase
zcs user there's your buying,increase
aap spy no more qe for 2013. now bring the geithner.,decrease
over extended stock market + unexpected news from the fed minutes = down esd & a panicky es_f nq_f.,decrease
"spy ncle ben needed to spice up things a little. aap people were bored, wake up now.",decrease
aap might close at the lows of the day. bears will be in control again below the descending trendline. watch it.,decrease
fan - seeking 200d. im adding some synthetic shorts here and will add again at 200d.,decrease
"cwst low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk",increase
all of the above: gme gamestop short targets  spy,decrease
time to get out of the #cloud stocks vmw cm,decrease
bac keep overniight mmy pos. will bin premarket tmorrow too.,increase
polk expects 2013 .s. new vehicle egistrations to each 15.3 million - polk -  f gm i think this is low,increase
